epoch,best_score_thr,best_area_thr,best_metric,valid_loss
0,0.5,500,0.4904098172445555,0.22745982617945285
1,0.5,500,0.5827262216323131,0.2288887436325485
2,0.5,500,0.8285782506337037,0.2505948769079672
3,0.5,500,0.9064041295567076,0.2523804975522531
4,0.5,500,0.93968648846085,0.2536942483605566
5,0.5,500,0.9371341869637771,0.25918824688808345
6,0.5,500,0.9451864949754768,0.2705934692073514
7,0.5,500,0.939534325051952,0.2932751662022358
8,0.5,500,0.947826474905014,0.31192431498218226
9,0.5,500,0.950702956399402,0.3742815360829637
10,0.5,500,0.9534866165470433,0.39035876941036535
11,0.5,500,0.9457353160188005,0.3974154092170097
12,0.5,500,0.9505743062173998,0.4012163297550098
13,0.5,500,0.9513748400920148,0.40013375395053136
14,0.5,500,0.953074079913062,0.4069444730475142
15,0.5,500,0.9444046350749764,0.4120387491342184
16,0.5,500,0.9352567920813688,0.5791835196920345
17,0.5,500,0.9485772356793687,0.6005342401362754
