epoch,best_score_thr,best_area_thr,best_metric
0,0.5,500,0.749010405830435
1,0.5,500,0.91519523633493
2,0.3,500,0.940371924155467
3,0.5,500,0.942008294769236
4,0.3,500,0.955004310285723
5,0.3,500,0.954937706122527
6,0.5,500,0.956718764595083
7,0.5,500,0.955346154200064
8,0.3,500,0.955016658112809
9,0.3,500,0.958366934512113
10,0.4,500,0.960469561654168
11,0.5,500,0.959552568358344
12,0.5,500,0.960683448089135
13,0.5,500,0.961536973714828
14,0.5,500,0.962364635757498
15,0.5,500,0.958063794148935
16,0.5,500,0.954137396168064
17,0.5,500,0.958827041290902
18,0.4,500,0.960056060069316
19,0.5,500,0.95942335918143
20,0.4,500,0.961590255434449
21,0.5,500,0.961364720318768
